Original,Paraphrased
"['PHNOM PENH (Reuters) - Sweden said on Tuesday it was stopping new aid for Cambodia, except in education and research, and would no longer support a reform programme after the main opposition party was outlawed by the Supreme Court at the government s request.', 'Sweden, which has given Cambodia an estimated $100 million in aid over five years, ranked third among individual EU member states in Cambodia s database of donors last year, after France and Germany.']","[""Sweden has decided to discontinue its new aid for Cambodia, with the exception of education and research, and will no longer support the country's reform program due to the Supreme Court's recent ban on the main opposition party at the government's request."", ""Sweden ranked third among individual EU member states in Cambodia's donor database last year, having provided an estimated $100 million in aid over five years, behind only France and Germany.""]"
"['UNITED NATIONS (Reuters) - United Nations Secretary-General Antonio Guterres  counts on the Security Council to remain united and take appropriate action  on North Korea, his political affairs chief, Jeffrey Feltman, said on Monday after Pyongyang conducted its sixth nuclear test.', 'The latest serious developments require a comprehensive response in order to break the cycle of provocations from (North Korea).']","[""According to the United Nations Secretary-General Antonio Guterres' political affairs chief, Jeffrey Feltman, the Security Council is expected to maintain unity and take appropriate measures in response to North Korea's recent nuclear test."", 'The current situation demands a thorough and multifaceted approach to address the escalating tensions and prevent further provocations from (North Korea).']"
"['WASHINGTON (Reuters) - Republicans in U.S. House of Representatives began staking out their positions on final tax legislation on Tuesday, days ahead of talks with the Senate to shape the tax package lawmakers hope to send to President Donald Trump by year end.', 'While lawmakers expect a smooth reconciliation of rival House and Senate tax bills, House Republicans have taken issue with several items in the Senate’s legislation - from a one-year delay in cutting the corporate tax rate to 20 percent to the sunsetting of individual tax cuts after 2025.']","['Republican members of the U.S. House of Representatives began outlining their positions on the final tax legislation on Tuesday, in preparation for upcoming negotiations with the Senate. The goal is to shape a tax package that lawmakers hope to send to President Donald Trump by the end of the year.', ""Despite expectations of a harmonious reconciliation, House Republicans have expressed dissatisfaction with several aspects of the Senate's tax legislation, including a one-year delay in reducing the corporate tax rate to 20% and the temporary nature of individual tax cuts beyond 2025.""]"
"['MOSCOW (Reuters) - Russia has suspended its diplomatic presence in Yemen and all its staff have left the country due to the situation in the capital Sanaa, the RIA news agency cited Russian Foreign Ministry spokeswoman Maria Zakharova as saying on Tuesday.', 'The Russian ambassador to Yemen and some diplomatic staff will be working temporarily out of the Saudi capital Riyadh, the Interfax news agency cited the ministry as saying.']","['According to Russian Foreign Ministry spokeswoman Maria Zakharova, Russia has temporarily withdrawn its diplomatic personnel from Yemen due to the unstable situation in the capital city of Sanaa, as reported by RIA news agency on Tuesday.', 'According to the Interfax news agency, the Russian ambassador to Yemen and some of his diplomatic staff will be temporarily relocated to Riyadh, the capital of Saudi Arabia, as cited by the ministry.']"
"['BRUSSELS (Reuters) - U.S. President Donald Trump is strongly committed to working with the European Union toward common objectives of peace and prosperity, U.S. Vice President Mike Pence said on Monday.', '“Today is my privilege on behalf of President Trump to express the strong commitment of the United States to continue cooperation and partnership with the European Union,” Pence said in a statement read out after his meeting with European Council President Donald Tusk.']","['According to U.S. Vice President Mike Pence, President Donald Trump is fully dedicated to collaborating with the European Union in pursuit of shared goals of stability and economic growth.', '""I am honored to speak on behalf of President Trump today in expressing the United States\' unwavering dedication to collaborating with the European Union, and we look forward to maintaining our strong partnership in the future.""']"
"['Trump has made clear that he doesn’t view the fight against Assad as a U.S. priority.', 'And once he’s in office, Trump will discover that fighting and containing Islamic State inevitably means wading into Syria’s complicated war.']","['Trump has indicated that the conflict in Syria is not a top priority for him in terms of U.S. involvement.', ""Once Trump assumes the presidency, he will realize that combating and limiting the influence of the Islamic State in Syria will inevitably involve becoming entangled in the country's intricate and complex conflict.""]"
"['WASHINGTON (Reuters) - Senate Republican leader Mitch McConnell told President Barack Obama’s Supreme Court nominee Merrick Garland by phone on Wednesday that Republicans will not act on his nomination or meet with him, a McConnell spokesman said.”Rather than put Judge Garland through more unnecessary political routines orchestrated by the White House, the leader decided it would be more considerate of the nominee’s time to speak with him today by phone,” McConnell spokesman Don Stewart said in a statement.', 'McConnell told the appellate court judge that “since the Senate will not be acting on this nomination, he would not be holding a perfunctory meeting, but he wished Judge Garland well,” Stewart added.']","[""Senate Republican leader Mitch McConnell notified President Obama's Supreme Court nominee Merrick Garland by phone on Wednesday that Republicans will not consider his nomination or meet with him. McConnell made this decision to avoid subjecting Garland to unnecessary political rituals orchestrated by the White House, and instead chose to speak with him directly by phone out of respect for his time."", 'According to Stewart, McConnell informed the appellate court judge that he would not be conducting a formal meeting for the nomination since the Senate was not taking action, but he offered his well wishes to Judge Garland.']"
"['(Reuters) - A Michigan judge on Tuesday dismissed charges against a former state representative, while ruling another lawmaker should stand trial after he tried to hide their extramarital affair, according to a prosecutor’s office spokeswoman.', 'Prosecutors will not appeal the dismissed charges against Gamrat, but they are reviewing their options regarding the charges against Courser that were not sent to trial, Bitely said.']","[""A Michigan judge dismissed the charges against a former state representative on Tuesday, while ruling that another lawmaker should stand trial for attempting to cover up their extramarital affair, according to a spokeswoman for the prosecutor's office."", 'Prosecutors have decided not to pursue an appeal for the dismissed charges against Gamrat, but they are assessing their options for the charges against Courser that were not sent to trial, according to Bitely.']"
"['TOKYO (Reuters) - Japan Airlines Co (9201.T) said on Monday it has begun screening passengers from the seven Muslim-majority countries affected by the President Donald Trump’s travel ban before their departure for the United States.', 'Officials at Japan’s second biggest carrier will contact the U.S. Customs and Border Protection agency when passengers from those countries check in at the airport before departure to confirm whether they will be allowed entry, a spokesman for the airline said.']","[""Japan Airlines has started screening passengers from seven Muslim-majority countries before they depart for the United States, in response to President Donald Trump's travel ban."", ""According to a spokesman for the airline, officials at Japan's second largest carrier will verify the eligibility of passengers from specific countries before they depart by contacting the U.S. Customs and Border Protection agency.""]"
"['GENEVA (Reuters) - President Joseph Kabila has agreed to help aid reach a region of the Democratic Republic of Congo where ethnic conflict has spawned a humanitarian emergency, the head of the U.N. s World Food Programme said on Monday.', 'Beasley, a former governor of the U.S. state of South Carolina, told Congo s prime minister that WFP had paid the government $9 million in administrative fees  just for access, just for being here , and asked him to scrap the fees.']","['According to the head of the United Nations World Food Programme, President Joseph Kabila has consented to provide assistance in reaching a region of the Democratic Republic of Congo where a humanitarian crisis has arisen due to ethnic conflicts.', 'Beasley, a former governor of South Carolina, urged the Congolese prime minister to eliminate administrative fees totaling $9 million that the World Food Program (WFP) had paid to the government for access to the country, as he believed the fees were unnecessary.']"
"['The endorsement gives Trump a further lift before next week’s Super Tuesday nominating contests.', 'Rubio’s home state of Florida is not part of the Super Tuesday contests.']","[""The endorsement provides an additional boost to Trump's campaign ahead of the upcoming Super Tuesday primaries."", 'Florida, where Rubio hails from, is not among the states participating in the Super Tuesday primaries.']"
"['COPENHAGEN (Reuters) - Iceland will hold a snap parliamentary election on Oct. 28, President Gudni Johannesson said on Monday, after the current government collapsed last week due to a scandal involving the prime minister s father.', 'The outgoing government would be the shortest-living in Iceland s history.']","[""REYKJAVIK (Reuters) - Iceland will hold an unexpected parliamentary election on October 28th, following the collapse of the current government last week due to a scandal involving the prime minister's father."", ""The recently departed government was the shortest-serving in Iceland's history.""]"
"['Stripped of Ukrainian citizenship while on a trip abroad, he  will try to re-enter Ukraine via the Polish border on Sunday, his staff and lawyers say, and expects to be greeted by supporters and lawmakers sympathetic to his cause.', 'The Kiev police ensured the delivery of the Georgian citizen to the migration services,  he told news agency Interfax Ukraine.']","['After being stripped of his Ukrainian citizenship while abroad, he plans to re-enter Ukraine through the Polish border on Sunday, according to his staff and lawyers. He expects to be met with support from supporters and lawmakers who share his perspective.', 'The Kiev police facilitated the transfer of the Georgian national to the migration authorities, as reported to Interfax Ukraine.']"
"['Such an assumption is common in career fields dominated by men.', 'With presumptive Democratic nominee Hillary Clinton seeking to become the first to break that barrier, several women in career fields made up mostly of men told Reuters that they saw her candidacy as significant.']","['Assumptions that are prevalent in male-dominated industries often perpetuate gender biases.', ""Hillary Clinton's bid to become the first female president has inspired many women in traditionally male-dominated fields, who view her candidacy as a milestone for gender equality, according to Reuters.""]"
"['Opening a critical Communist Party congress, Xi pledged to build a  modern socialist country  for a  new era  that will be proudly Chinese and steadfastly ruled by the party but open to the world.', 'We must unwaveringly uphold and improve party leadership and make the party still stronger.']","['At the start of a significant Communist Party congress, Xi promised to construct a contemporary socialist nation for a new era that will be distinctly Chinese, yet open to the world and firmly governed by the party.', ""Maintaining and enhancing the party's leadership requires unwavering commitment and effort to make the party even stronger.""]"
"['ROME/TUNIS (Reuters) - A powerful armed group, known for smuggling people from Libya, is seeking legitimacy and state security jobs from the Tripoli government in exchange for stopping migrant boats from leaving the coast of Sabratha for Italy, a senior group member said.', 'We only have deals with the (Tripoli) government,  Mohamed said.']","['The Tripoli government is being asked by a powerful armed group, notorious for smuggling people from Libya, to grant them official legitimacy and security positions in exchange for halting the departure of migrant boats from the coast of Sabratha bound for Italy.', 'Mohamed emphasized that their company only conducts business with the Tripoli government.']"
"['WASHINGTON (Reuters) - President Donald Trump on Wednesday moved a step closer to fulfilling his campaign promise to reform the troubled Veterans Affairs department, but some veterans groups are concerned that the administration may be working toward privatizing their healthcare.', 'Trump signed a law extending the pilot “Veterans Choice” program, which allows some veterans to receive healthcare from local doctors and hospitals closer to their homes than the VA’s 150 hospitals and nearly 1,000 outpatient clinics.']","['President Trump took a step forward in fulfilling his campaign pledge to overhaul the embattled Veterans Affairs department, but some veteran organizations are apprehensive that the administration might be aiming to privatize their healthcare.', 'President Trump enacted a legislation that prolongs the ""Veterans Choice"" program, enabling certain veterans to receive medical care from nearby community doctors and hospitals instead of the VA\'s extensive network of 150 hospitals and nearly 1,000 outpatient clinics.']"
"['LONDON (Reuters) - British police said a bomb was used during an explosion at a London metro station which injured 18 people in what officers described as a  terrorist incident.', 'London s police is being supported by Britain s MI5 intelligence service, he said.']","['According to British police, a bomb was responsible for an explosion at a London metro station that injured 18 people, with officers describing the incident as a terrorist attack.', ""London's law enforcement agencies are receiving backing from Britain's MI5 intelligence service, according to the speaker.""]"
