Original,Paraphrased
"['Changes to the Housing Act in Wales, introduced in 2015, removed the right for prison leavers to be given priority for accommodation.', 'Andrew Stevens, who works in Welsh prisons trying to secure housing for prison leavers, said the need for accommodation was ""chronic"".']","['The revisions to the Housing Act in Wales, which were implemented in 2015, eliminated the previous policy of granting priority for housing to individuals released from prison.', 'Andrew Stevens, who is tasked with securing housing for prisoners released from Welsh prisons, has described the demand for accommodation as ""persistently high.""']"
"['Detectives said three firearms, ammunition and a five-figure sum of money were recovered.', 'A 26-year-old man who was arrested and charged appeared at Edinburgh Sheriff Court on Thursday.']","['Three firearms, along with ammunition and a significant amount of money, were discovered by detectives.', 'A 26-year-old male individual who was taken into custody and formally accused appeared in front of Edinburgh Sheriff Court on Thursday.']"
"['The four have been charged with hate crimes and aggravated kidnapping and battery, among other things.', 'In a video made for Facebook Live which was watched millions of times, the assailants can be heard making derogatory statements against white people and Donald Trump.']","['The four individuals have been accused of committing hate crimes, aggravated kidnapping, and battery, as well as other offenses.', 'The attackers were captured on video making disparaging remarks against white people and President Trump during a Facebook Live broadcast that was viewed by millions of people.']"
"['He was appointed youth academy director in 2000 and has been director of football since 2003.', 'A West Brom statement said: ""He played a key role in the Championship club twice winning promotion to the Premier League in 2006 and 2012.""']","['He was named the youth academy director in 2000 and has held the position of director of football since 2003.', ""According to a statement from West Brom, the player was instrumental in the club's promotion to the Premier League twice, in 2006 and 2012, during their Championship seasons.""]"
"['Dr Longo said: ""Medically, these findings have the potential to be very important because we\'ve shown - at least in mouse models - that you can use diet to reverse the symptoms of diabetes.', '""People with type-1 and type-2 diabetes would benefit immensely from treatments that can repair or regenerate insulin-producing cells in the pancreas.""']","[""Dr. Longo noted that the study's results could have significant medical implications, as they suggest that dietary interventions may be able to reverse the effects of diabetes in mouse models."", '""Individuals with type-1 and type-2 diabetes could greatly benefit from therapies that can restore or generate insulin-producing cells in the pancreas.""']"
"['A Luxottica spokesman told the BBC that the firm was confident that any scrutiny would not hinder the deal.', 'The EU itself says it currently has no comment to make and it has not yet been formally notified of the merger deal under the requirements of its own rules.']","['According to a Luxottica spokesperson interviewed by the BBC, the company is confident that the proposed acquisition will not be adversely affected by any scrutiny it may face.', 'The European Union has not received any formal notification of the merger deal and has no comment to offer at this time, according to its own rules.']"
"['British Cycling subsequently admitted it did not pay ""sufficient care and attention"" to the wellbeing of staff and athletes at the expense of winning medals, an approach Houvenaghel attested to in her BBC interview.', '""Medals at any cost, that\'s how it was whenever I was there, certainly in 2012.""']","['British Cycling acknowledged that it prioritized winning medals over the well-being of its staff and athletes, a approach that neglected their needs and led to negative consequences.', '""Winning medals was the top priority, and that was the case every time I was there, especially in 2012.""']"
"['""If it\'s somebody starting off in the business it could be $1,500 a show.', 'You\'re taking all the tickets, and the club gets the concessions.""']","['""For new businesses, the cost per show could be around $1,500.""', '""You\'re collecting all the tickets, and the club is receiving the concession profits.""']"
"[""BT's retirement scheme, inherited from its time as a state-owned utility, has assets of about Â£40bn and a deficit, on some measures, of about Â£10bn, even though BT has poured in billions of pounds in recent years to redress the gap."", ""Senior sources at the company say that about 80% of the scheme relates to Openreach, the internet infrastructure provider that BT's rivals would like to see spun off.""]","[""BT's pension plan, which was inherited from its days as a state-owned company, has assets worth around £40 billion and a deficit of around £10 billion, despite the company's recent investment of billions of pounds to address the shortfall."", ""According to senior sources within the company, roughly 80% of the scheme involves Openreach, the internet infrastructure provider that BT's competitors are advocating for separation from the company.""]"
"[""Rodgers is also aware Celtic's visit to Hampden last season in the Scottish Cup semi-final against Rangers ended in defeat."", '""Our idea was to qualify for the Champions League, which we did, to make a good start in the league, which we\'ve done, and then look to get to the League Cup final.']","[""Rodgers is cognizant of Celtic's previous loss at Hampden Park during the Scottish Cup semi-final against Rangers in the previous season."", 'Our goal was to secure a spot in the Champions League, which we successfully accomplished, and then use that momentum to make a strong start in the league, which we have done, with the ultimate aim of reaching the League Cup final.']"
"['The university aims to reduce the number of student places by 1,010 over the next three years.', 'It will be cutting jobs and student places, but it has not yet revealed how many.']","['The university plans to decrease the number of student enrollments by 1,010 over the next three academic years.', 'The company will be reducing its workforce and student enrollment, but the exact number of layoffs and cuts has not been disclosed.']"
