Original,Paraphrased
"['The Palestinians signed the ICC\'s founding Rome Statute in January, when they also accepted its jurisdiction over alleged crimes committed ""in the occupied Palestinian territory, including East Jerusalem, since June 13, 2014.""', 'Later that month, the ICC opened a preliminary examination into the situation in Palestinian territories, paving the way for possible war crimes investigations against Israelis.', ""Israel and the United States, neither of which is an ICC member, opposed the Palestinians' efforts to join the body."", 'The inquiry will include alleged war crimes committed since June.']","[""The Palestinian authorities signed the ICC's founding Rome Statute in January, thereby acknowledging the court's authority to investigate and prosecute alleged crimes committed in the occupied Palestinian territories, including East Jerusalem, dating back to June 13, 2014."", 'Later that month, the International Criminal Court initiated a preliminary examination into the situation in the Palestinian territories, potentially paving the way for investigations into possible war crimes committed by Israelis.', ""Israel and the United States, both of which are not members of the International Criminal Court (ICC), objected to the Palestinians' attempts to join the ICC."", 'The investigation will cover alleged atrocities committed during the conflict since June.']"
"['A stray pooch in Washington State has used up at least three of her own after being hit by a car, apparently whacked on the head with a hammer in a misguided mercy killing and then buried in a field -- only to survive.', 'Four days after her apparent death, the dog managed to stagger to a nearby farm, dirt-covered and emaciated, where she was found by a worker who took her to a vet for help.', '""She\'s a true miracle dog and she deserves a good life.""', ""A cat in Tampa, Florida, found seemingly dead after he was hit by a car in January, showed up alive in a neighbor's yard five days after he was buried by his owner.""]","['A roaming dog in Washington State has endured a harrowing ordeal, surviving being struck by a car, being hit on the head with a hammer, and being buried in a field despite all odds.', 'The dog, who had been presumed dead for four days, astonishingly made her way to a nearby farm, severely emaciated and covered in dirt, where she was discovered by a worker and taken to a veterinarian for medical attention.', '""She\'s a remarkable canine with a heartwarming story, and she deserves to live a happy and fulfilling life.""', 'A feline in Tampa, Florida, who was believed to have been killed after being struck by a car in January, astonishingly resurfaced in a nearby yard five days after being interred by his owner.']"
"['He is, of course, the Iranian foreign minister.', 'An Internet search for ""Mohammad Javad Zarif"" and ""jovial"" yields thousands of results.', ""Zarif left the country in 1977, received his undergraduate degree from San Francisco State University in 1981, his master's in international relations from the University of Denver in 1984 and his doctorate from the University of Denver in 1988."", 'Early in the Iranian Revolution, Zarif was among the students who took over the Iranian Consulate in San Francisco.', 'In fact, he has now spent more time with Kerry than any other foreign minister in the world.']","['He serves as the foreign minister of Iran, naturally.', 'A search online for ""Mohammad Javad Zarif"" and ""cheerful"" returns thousands of results.', ""Zarif departed the country in 1977, later earning his undergraduate degree from San Francisco State University in 1981, his master's in international relations from the University of Denver in 1984, and his doctorate from the same institution in 1988."", 'Zarif was one of the student protesters who occupied the Iranian Consulate in San Francisco during the early stages of the Iranian Revolution.', 'He has now spent more time with Kerry than he has with any other foreign minister in the world.']"
"['(CNN)Five Americans who were monitored for three weeks at an Omaha, Nebraska, hospital after being exposed to Ebola in West Africa have been released, a Nebraska Medicine spokesman said in an email Wednesday.', 'They were exposed to Ebola in Sierra Leone in March, but none developed the deadly virus.', 'They all had contact with a colleague who was diagnosed with the disease and is being treated at the National Institutes of Health in Bethesda, Maryland.', 'As of Monday, that health care worker is in fair condition.', 'Ebola is spread by direct contact with the bodily fluids of an infected person.']","['Five US citizens who were under observation for three weeks at an Omaha, Nebraska hospital after being exposed to Ebola in West Africa have been discharged, according to an email statement from Nebraska Medicine on Wednesday.', 'They encountered Ebola in Sierra Leone in March, but fortunately, none of them contracted the fatal disease.', 'They were all in close proximity to a coworker who was diagnosed with the illness and is receiving treatment at the National Institutes of Health in Bethesda, Maryland.', 'As of Monday, the healthcare professional is in a stable condition.', 'Ebola can be transmitted through direct contact with the bodily fluids of an infected individual.']"
"['(CNN)A Duke student has admitted to hanging a noose made of rope from a tree near a student union, university officials said Thursday.', 'In a news release, it said the student was no longer on campus and will face student conduct review.', 'The student was identified during an investigation by campus police and the office of student affairs and admitted to placing the noose on the tree early Wednesday, the university said.', 'At a forum held on the steps of Duke Chapel, close to where the noose was discovered at 2 a.m., hundreds of people gathered.', 'This is no Duke we want.']","['According to university officials, a Duke student has confessed to hanging a noose made of rope from a tree near a student union.', 'According to the news release, the student is no longer present on campus and will be subject to a review of their conduct.', 'The university confirmed that the student was discovered by campus police and the office of student affairs to have hung a noose on a tree on Wednesday morning, following an investigation.', 'On the grounds of Duke Chapel, near the site where the noose was found at 2 a.m., a large crowd of people convened for a forum.', 'We do not desire the presence of a Duke.']"
"[""She's a high school freshman with Down syndrome."", ""Trey -- a star on Eastern High School's basketball team in Louisville, Kentucky, who's headed to play college ball next year at Ball State -- was originally going to take his girlfriend to Eastern's prom."", ""Trey made the prom-posal (yes, that's what they are calling invites to prom these days) in the gym during Ellie's P.E."", ""Trina Helson, a teacher at Eastern, alerted the school's newspaper staff to the prom-posal and posted photos of Trey and Ellie on Twitter that have gone viral.""]","['She is a first-year high school student with Down syndrome.', ""Trey, a standout basketball player at Eastern High School in Louisville, Kentucky, who will be attending Ball State University next year, had initially planned to take his girlfriend to the school's prom."", 'Trey proposed (or invited) Ellie to prom in the gym during her physical education class.', ""Trina Helson, a teacher at Eastern, brought the prom-posal to the attention of the school's newspaper staff and shared photos of Trey and Ellie on Twitter, which have since gone viral.""]"
"['(CNN)Governments around the world are using the threat of terrorism -- real or perceived -- to advance executions, Amnesty International alleges in its annual report on the death penalty.', '""It is shameful that so many states around the world are essentially playing with people\'s lives -- putting people to death for \'terrorism\' or to quell internal instability on the ill-conceived premise of deterrence.""', 'On one hand, the number of executions worldwide has gone down by almost 22% on the previous year.', 'While the report notes some encouraging signs, it also highlights a marked increase in the number of people sentenced to death in 2014.', 'The United States has the dubious distinction of being the only country in the Americas to conduct executions, but the number of convicts put to death here fell slightly, from 39 in 2013 to 35 in 2014.']","['Governments worldwide are employing the specter of terrorism, whether actual or supposed, to expedite executions, asserts Amnesty International in its yearly report on capital punishment.', '""Many governments are morally reprehensible in their use of capital punishment for alleged acts of terrorism or to maintain internal order, taking the lives of innocent people based on flawed assumptions.""', 'On the other hand, the global number of executions has decreased by nearly 22% compared to the previous year.', 'The report observes some positive trends, but it also reveals a significant rise in the number of death sentences handed down in 2014.', 'The United States stands alone in the Americas as the only country to carry out executions, yet the number of convicts executed here decreased slightly from 39 in 2013 to 35 in 2014.']"
"['(CNN)Andrew Getty, one of the heirs to billions of oil money, appears to have died of natural causes, a Los Angeles Police Department spokesman said.', ""The coroner's preliminary assessment is there was no foul play involved in the death of Getty, grandson of oil tycoon J. Paul Getty, said Detective Meghan Aguilar."", 'There is no criminal investigation underway, he said.', 'Gordon Getty is one of three living sons of J. Paul Getty, the oil baron who was thought to be the richest man in the world at the time of his death in 1976.', 'Court records show Andrew Getty had recently filed to get a restraining order against an ex-girlfriend.', 'In his request, Getty said he had been diagnosed with a serious medical condition in 2013.']","['Andrew Getty, a member of the wealthy oil family, passed away due to natural causes, according to a spokesperson for the Los Angeles Police Department.', 'According to Detective Meghan Aguilar, the initial findings of the coroner suggest that there was no suspicious activity involved in the death of Getty, the grandson of oil magnate J. Paul Getty.', 'He emphasized that there is no active criminal probe currently in progress.', 'Gordon Getty is one of three surviving sons of J. Paul Getty, the oil tycoon who was widely considered the wealthiest person on the planet when he passed away in 1976.', 'According to court records, Andrew Getty had recently sought legal protection against his former partner by filing for a restraining order.', 'Getty mentioned in his request that he had been diagnosed with a severe medical condition back in 2013.']"
"['Just a few days ago, Maysak gained super typhoon status thanks to its sustained 150 mph winds.', 'It has since lost a lot of steam as it has spun west in the Pacific Ocean.', 'It boasts steady winds of more than 70 mph (115 kph) and gusts up to 90 mph as of 5 p.m. (5 a.m.', ""It's expected to make landfall Sunday morning on the southeastern coast of Isabela province and be out of the Philippines by Monday.""]","['Maysak recently attained super typhoon status due to its persistent winds of 150 mph.', 'The system has since weakened and veered westward over the Pacific Ocean.', 'The winds are consistently strong, reaching speeds of over 70 mph (115 kph) with gusts as high as 90 mph as of 5 p.m. (5 a.m.).', 'The storm is anticipated to reach the southeastern coast of Isabela province on Sunday morning and exit the Philippines by Monday.']"
"['on the April 1 edition of ""The Price Is Right"" encountered not host Drew Carey but another familiar face in charge of the proceedings.', 'Instead, there was Bob Barker, who hosted the TV game show for 35 years before stepping down in 2007.', 'Looking spry at 91, Barker handled the first price-guessing game of the show, the classic ""Lucky Seven,"" before turning hosting duties over to Carey, who finished up.']","['On the April 1 edition of ""The Price Is Right,"" viewers were surprised to see not host Drew Carey but another familiar face leading the show.', 'Bob Barker hosted the popular TV game show for an impressive 35 years before deciding to step down in 2007.', 'Barker, who appeared lively at 91, kicked off the first price-guessing game of the show, ""Lucky Seven,"" before passing the baton to Carey to conclude the segment.']"
